price,brand,model,year,mileage,engine_size,city,fuel_type,transmission,condition,owners,scraped_at
23100,BYD,Destroyer 05,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
21000,Kia,K3,2020,236000,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
39900,Changan,Qiyuan Q07,2020,8000,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
19800,Mercedes,Vito,2009,222898,2.1,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
24000,LADA,(VAZ) Niva,2025,5800,1.7,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
30700,Changan,Oshan X5 Plus,2025,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
10895,LADA,(VAZ) 2107,2020,49000,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
47700,Changan,Qiyuan Q07,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
26800,Kia,Rio X-Line,2021,76000,1.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
6400,Mercedes,C 220,2020,475000,2.2,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
20700,Hyundai,Accent,2015,115000,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
52700,Changan,Qiyuan Q07,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
28500,Kia,K5,2020,150000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
76700,BYD,Leopard 7,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
16700,Chevrolet,Cruze,2015,205000,1.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
65000,DAF,105 XF,2013,909500,13.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
82450,Land,Rover Range Rover,2014,99700,4.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
45900,Geely,Radar RD6,2020,62024900,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
41500,Land,Rover Discovery,2017,160000,3.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
34900,Toyota,Corolla,2025,0,1.8,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
72080,BMW,750,2020,77000,4.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
76900,BYD,Leopard 7,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
73900,Toyota,Camry,2025,0,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
62000,Volvo,FH 460,2020,1287000,13.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
35400,Toyota,Corolla,2024,0,1.8,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
25900,Nissan,X-Trail,2015,127000,2.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
69900,GAC,S7,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
29550,Changan,Eado,2025,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
34900,Hyundai,Venue,2025,0,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
93500,Lexus,RX 350h,2023,38000,2.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
37900,Kia,Sorento,2016,158000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
42500,BMW,428,2020,150000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
58700,Toyota,Camry,2023,80000,2.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
207400,BMW,M4,2020,15000,3.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
49000,Hyundai,Tucson,2023,27300,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
21499,Hyundai,ix35,2020,210000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
59500,BMW,X5,2020,158000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
45390,Lexus,LX 570,2020,199000,5.7,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
5000,LADA,(VAZ) 2107,2020,200000,1.7,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
60000,Land,Rover Discovery Sport,2020,18000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
49500,Porsche,Macan,2017,48000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
15700,Toyota,Prius,2010,381607,1.8,Sumqayıt,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
11300,Toyota,Prius,2006,230000,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
31664,Chevrolet,Cobalt,2025,8000,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
73000,Volvo,S90,2020,0,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
18900,Ford,Fusion (North America),2018,178000,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
8000,LADA,(VAZ) 2107,2020,89000,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
13500,Hyundai,i30,2020,213000,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
43400,Changan,Qiyuan Q07,2020,15000,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
12500,Chevrolet,Cruze,2014,260000,1.4,Bakı,qaz,avtomat,yaxsi,1,2026-02-03 23:24:45
42000,KamAz,65115,2020,355000,11.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:45
